agency,title,description,formats,link,
Canterbury Regional Council,Wilding Conifer Survey Points 1998 2003,1998-2003 Results from survey and mapping of exotic wilding conifers in defined areas of the Canterbury high country.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4418,
Canterbury Regional Council,Land_of_Regional_Significance_2010,"In 2010, Environment Canterbury commissioned a report that identifies areas of outstanding natural features and landscapes (ONF/Ls) at a regional scale throughout Canterbury.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4442,
Canterbury Regional Council,Christchurch Central Recovery Plan Area,Christchurch Central Recovery Plan area supplied by the Christchurch Central Development Unit (CCDU).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4466,
Canterbury Regional Council,Christchurch Groundwater Protection Subzones,"Christchurch Groundwater Protection Sub Zones 1A, 1B, 1C and 1D as ammended by Variation 6 to the Proposed Canterbury Natural Resources Regional Plan, Chapter 4: Water Quality.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4514,
Canterbury Regional Council,Erosion Determination Points,These points are used to determine the width of Hazard Zones by interpolating the rate of shoreline retreat between the fixed determination points.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4562,
Canterbury Regional Council,"Protected Recreational, Cultural or Historic Structures (line)","Protected Recreational, Cultural or Historic Structures as represented by lines in map series 2 of the Canterbury Regional Coastal Environmnet Plan (RCEP) 2005.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4586,
Land Information New Zealand,"Cook Islands Terrain Relief (Topo, 1:50k, Zone4)","In addition to contour lines, relief shading helps visualise the terrain.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4658,
Canterbury Regional Council,Waimakariri DEM 2005,Waimakariri LiDAR Survey 2005.,"['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4682,
Ministry for the Environment (MfE),"Pest impacts on indigenous trees - Impact of goats, possums, and deer on indigenous tree species, mortality and recruitment of preferred and avoided trees, 2002–07 and 2009–14","Deer, goats, and possums are animal pests in New Zealand.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4778,
Ministry for the Environment (MfE),Number of extreme weather events identified by ICNZ (1975–2014),Extreme weather events are weather events that are rare or even statistically unlikely.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4802,
Ministry for the Environment (MfE),Cumulative overlap of coastal trawl footprint by BOMEC class (2008–12),"Seabed trawling, when fishing nets are towed near and along the ocean floor, can physically damage seabed (benthic) habitats and species.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4826,
Ministry for the Environment (MfE),Days with wind gusts greater than gale force (1975–13),"Strong wind events can cause significant damage, for example, to trees and buildings.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4850,
Ministry for the Environment (MfE),"Global and New Zealand temperatures, five year running average (1911–2010)",Temperature change is influenced by changes in atmospheric composition that result from greenhouse gas emissions.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4874,
Ministry for the Environment (MfE),Hector’s and M??ui’s dolphin deaths (1921–2008),The Hector’s and M??ui’s dolphins are subspecies of the small dolphin Cephalorhynchus hectori.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4898,
 Central Otago 0.4m Rural Aerial Photos Index Tiles (2015),Southland &amp,Land Information New Zealand,"Index Tiles ONLY, for actual orthophotos see layer Southland & Central Otago 0.4m Rural Aerial Photos (2015)[http://data.linz.govt.nz/layer/2601] Orthophotography for the Southland & Central Otago regions taken in the flying season (summer period) 2014 - 15.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4922
Ministry for the Environment (MfE),Average annual chlorophyll-a concentration anomalies 2014,"""The annual anomalies where primary productivity for 2014 deviated from the long-term mean (1997–2014).","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5066,
Ministry for the Environment (MfE),Recruitment of indigenous tree sp silver beech 2002–2014,"""The rates of establishment (recruitment) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5090,
Ministry for the Environment (MfE),Freshwater pests: Yellow Flag,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5114,
Ministry for the Environment (MfE),Freshwater pests: Clasped pondweed,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5138,
Ministry for the Environment (MfE),"Ammoniacal nitrogen, 2009–2013","""Small amounts of nitrogen are a natural component of healthy rivers.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5162,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1982",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5186,
Ministry for the Environment (MfE),"Annual average sea surface temperature, 2008",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5210,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1991",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5234,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 2004",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5258,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 2006,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5282,
Ministry for the Environment (MfE),"Annual rainfall, 1983","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5306,
Ministry for the Environment (MfE),"Annual rainfall, 2007","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5330,
Ministry for the Environment (MfE),Sunshine hours 1985,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5354,
Ministry for the Environment (MfE),Sunshine hours 1994,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5378,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 1977-1978",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5402,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 1996-1997",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5426,
Ministry for the Environment (MfE),Standardised soil moisture deficit 2005-2006,Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5450,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1983-1984,"""Soil moisture is important for plant growth.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5474,
Ministry for the Environment (MfE),Petroleum Wells,The location of petroleum wells in the territorial sea and the exclusive economic zone.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5498,
Statistics New Zealand,Counts of Te Reo speakers of Maori descent by Meshblock,This Data service is a prototype model to enable people to find Statistics NZ data in geographic and other formats.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5522,
Palmerston North City Council,Address points,Current address points maintained by Palmerston North City Council.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5546,
Greater Wellington Regional Council,Wellington Region Tracks,"Walking and cycling tracks in the Greater Wellington Region, 2016.","['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5618,
Greater Wellington Regional Council,Flood extent for modelled Wairarapa 50 year flood for the Wairarapa District,Wairarapa Valley 50 Year Flood Spread.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5642,
Land Information New Zealand,Napier 1962 to NZVD2016 Conversion,The NPR62-NZVD2016 grid enables the conversion of normal-orthometric heights from the Napier 1962 local vertical datum to the New Zealand Vertical Datum 2016 (NZVD2016).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5666,
Ministry for the Environment (MfE),Performance of assessed fish stock in relation to the overfishing threshold (2009–15),"Our fish stocks are affected by commercial, customary, and recreational fishing, and environmental pressures (eg ocean temperature, acidity, and productivity).","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/5738,
Ministry for the Environment (MfE),Average number of days wind speed exceeded storm force (Beaufort Scale 10),The ocean storm index estimates the number of days in a year when wind speeds exceed gale and storm force on the Beaufort Scale.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5762,
Statistics New Zealand,"Census Population and Dewlling by Meshblock, 2001-2013",,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/5786,
Northland Regional Council,Northland Marine Farms,Northland Marine Farms Dataset Purpose: To identify the location of marine farms and use in conjunction with other NRC Marine and Coastal Management layers.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/844,
Department of Conservation,Feral Goat distribution in Northland (1 July 2007),This dataset represents the terrestrial distribution of Feral Goat (Capra hicus) in Northland as at 1 July 2007.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/940,
Wellington City Council,Wellington City 5m Digital Elevation Model (2004),Wellington City 5m Digital Elevation Model.,"['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/988,
Landcare Research,Vulnerability to Soil Structural Degradation,"Untimely cultivation, grazing and forestry operations when the soils are wet give rise to a rapid and marked loss of soil structure and a reduction in soil permeability and aeration owing to the compaction, deformation and consolidation of the topsoil and upper subsoil.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1228,
Landcare Research,LENZ - Exchangeable calcium,Exchangeable calcium data layer used in the creation of Land Environments of New Zealand (LENZ) classification.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/1252,
Landcare Research,Soils of Karamea,"This is an updated soils map based on information collected by O'Byrne, T.N.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1276,
Land Information New Zealand,NZ Chatham Is Terrain Relief (Topo50),"In addition to contour lines, relief shading helps visualise the terrain.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1324,
Land Information New Zealand,NZ Railway Centre Lines,The source data exists in order to provide linear geometries against which official railway names can be recorded and to provide contextual data for Landonline users.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1348,
Land Information New Zealand,12 Mile Territorial Sea Outer Limit,"New Zealand Territorial Seas The territorial sea is the belt of sea adjacent to the coast out to a distance of 12 nautical miles from prescribed baselines over which New Zealand, as the coastal state, has the same rights of sovereignty that it exercises over its land territory subject to the right of innocent passage (and transit passage through any straits used for international navigation) of ships of other states.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1372,
Land Information New Zealand,"NZ Reservoir Polygons (Topo, 1:50k)",Reservoir, receptacle in which a large quantity of water is stored Data Dictionary for reservoir_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-reservoir_poly] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1396
Land Information New Zealand,"Building, single polygon (Hydro, 1:22k - 1:90k)","A relatively permanent structure, roofed and usually walled.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1420,
Land Information New Zealand,"Land area polygon (Hydro, 1:350k - 1:1,500k)","The solid portion of the Earth's surface, as opposed to sea, water.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1444,
Land Information New Zealand,"NZ River Centrelines (Topo, 1:500k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1468,
Land Information New Zealand,"Berth points (Hydro, 1:4k - 1:22k)",A named or numbered place where a vessel is moored at a wharf.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1492,
Land Information New Zealand,"Land region polygons (Hydro, 1:4k - 1:22k)",An area of natural scenery on land.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1516,
Land Information New Zealand,"Conveyor polygons (Hydro, 1:4k - 1:22k)",A mechanical apparatus for moving bulk material or people from place to place (as by a moving belt or chain of receptacles).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1540,
Land Information New Zealand,"Marine farm/culture polygon (Hydro, 1:90k - 1:350k)","An assemblage of cages, nets, rafts and floats or posts where fish, including shellfish, are artificially cultivated.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1564,
Land Information New Zealand,"Nautical publication information polygons (Hydro, 1:4k - 1:22k)",Used to relate additional nautical information or publications to the data.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1588,
Land Information New Zealand,"Anchor berth points (Hydro, 1:4k - 1:22k)","A designated area of water where a single vessel, sea plane, etc...","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1612,
Land Information New Zealand,"Vegetation polygons (Hydro, 1:4k - 1:22k)","Collections of, or individual plants.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1636,
Land Information New Zealand,"Tideway polygon (Hydro, 1:22k - 1:90k)",A natural water course in intertidal areas where water flows during the ebb or flow.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1684,
Land Information New Zealand,"Land elevation points (Hydro, 1:350k - 1:1,500k)","An elevation is the vertical distance of a point or a level, on, or affixed to, the surface of the earth , measured from a specified vertical datum.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1708,
Land Information New Zealand,"Offshore platform points (Hydro, 1:90k - 1:350k)","A permanent offshore structure, either fixed or floating, used in the production of oil or natural gas.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1732,
Land Information New Zealand,"NZ Walkwire Centrelines (Topo, 1:50k)","A series of wires, one to walk on, one or more to hold on to.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1756,
Land Information New Zealand,"NZ Snow Polygons (Topo, 1:50k)",A region of permanent snow.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1780,
Land Information New Zealand,"NZ Cemetery Points (Topo, 1:50k)",A place for burying the dead.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1804,
Land Information New Zealand,"NZ Boatramp Centrelines (Topo, 1:50k)",A place for launching or retrieving boats from the water.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1828,
Land Information New Zealand,"NZ Chatham Is Native Polygons (Topo, 1:50k)",A tract of land covered by trees native to New Zealand.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1852,
Land Information New Zealand,"Daymark points (Hydro, 1:90k - 1:350k)",The identifying characteristics of an aid to navigation which serve to facilitate its recognition against a daylight viewing background.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1876,
Land Information New Zealand,"Ferry route polygon (Hydro, 1:90k - 1:350k)",A route in a body of water where a ferry crosses from one shoreline to another.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1900,
Land Information New Zealand,"NZ Sand Polygons (Topo, 1:250k)","Sand: crushed rock, shells etc smaller than 2mm in size Data Dictionary for sand_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sand_poly] This layer is a component of the Topo250 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1924,
Land Information New Zealand,"Tidal stream - flood/ebb points (Hydro, 1:90k - 1:350k)",A tidal stream (or tidal current) is a horizontal movement of water associated with the rise and fall of the tide caused by tide-producing forces.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1948,
Land Information New Zealand,"Fog signal points (Hydro, 1:90k - 1:350k)","A warning signal transmitted by a vessel, or aid to navigation, during periods of low visibility.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1972,
Land Information New Zealand,"NZ Chatham Is Lake Polygons (Topo, 1:250k)",Any standing body of fresh inland water.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1996,
Land Information New Zealand,"NZ Chatham Is Descriptive Texts (Topo, 1:50k)",Descriptive text, object used to hold text.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2020
Land Information New Zealand,"NZ Chatham Is Road Centrelines (Topo, 1:50k)",Any formed all weather route suitable for the passage of any vehicle.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2044,
Land Information New Zealand,"NZ Chatham Is River Centrelines (Topo, 1:250k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2068,
Porirua City Council,Porirua City Toilets,Location of Public Toilets in Porirua City.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2092,
Wellington City Council,Wellington City Council Water Network Pipe,Wellington City Council Water Network Pipes The water and drainage data is provided to assist in planning works that are in proximity to water and drainage infrastructure.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2116,
Wellington City Council,Wellington City Aerial Imagery (2011),"Wellington City orthophotography flown between 31 December 2010 and 10 January 2011 over Central Wellington, Wellington Airport, Churton Park, Grenada North, Woodridge and other selected areas.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2140,
University of Otago - National School of Surveying,03 Warkworth 15m DEM (NZSoSDEM v1.0),"NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.","['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2164,
Land Information New Zealand,"NZ Kermadec Is Shoal Polygons (Topo, 1:25k)","A submarine object over which the water is shallow, which is detached from the shore and whose bottom is visible at low water; may be a menace to navigation on the surface Data Dictionary for shoal_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-shoal_poly] Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2188,
Land Information New Zealand,"NZ Snares Island River Centrelines (Topo, 1:25k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2212,
Land Information New Zealand,"NZ Auckland  Island Rock Polygons (Topo, 1:50k)",Coastal rocks, rocks between high and low tide Data Dictionary for rock_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-rock_poly] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2236
Land Information New Zealand,"NZ Antipodes Island Rock Points (Topo, 1:25k)",An isolated rock or rock formation between high and low tides.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2260,
Land Information New Zealand,NZ Orthophotos 2001-2002,"LINZ publishes 1:25,000 scale orthophotos of New Zealand from its archive.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2308,
Landcare Research,GDM Classification of New Zealand Biotic Composition for All Forest Plants 20 groups,This layer provides a classification of New Zealand ecosystems according to plant composition.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2332,
Landcare Research,GDM - Ferns - Underlying Data: junestran,This layer provides a transformation of environmental layer to best predict fern compositional turnover.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2356,
Land Information New Zealand,"Radio calling-in point polyline (Hydro, 1:22k - 1:90k)","Also called radio reporting points, they have been established in certain busy waterways and port approaches to assist traffic control.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2500,
Land Information New Zealand,"NZ Ross Dependency Sinkhole Points (ANT, 1:50k)","A hole, or funnel shaped cavity made in the earth by the action of water on the soil, rock or underlying strata Data Dictionary for sinkhole_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sinkhole_pnt] This layer is a component of the Ant50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2692,
Ministry of Health,NZ District Health Boards (2012),New Zealand District Health Boards boundaries as of 2012.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2716,
Land Information New Zealand,Chart NZ 5327 Waiheke Island to Coromandel Peninsula,Raster chart image of: NZ 5327 Waiheke Island to Coromandel Peninsula This data was compiled for the use at the following scale: 1:40000 File reference: NZ532701 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2764,
Land Information New Zealand,Chart NZ 6912 Plans in Stewart Island / Rakiura: Port Adventure and Lords River / Tutaekawetow,Raster chart image of: NZ 6912 Plans in Stewart Island / Rakiura: Port Adventure and Lords River / Tutaekawetow This data was compiled for the use at the following scale: 1:40000 File reference: NZ691201 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2788,
Land Information New Zealand,"Chart NZ 4541 Approaches to Wanganui: Whanganui River, Castlecliff Wharves","Raster chart image of: NZ 4541 Approaches to Wanganui: Whanganui River, Castlecliff Wharves This data was compiled for the use at the following scale: 1:7500 File reference: NZ454102 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2812,
Land Information New Zealand,Chart NZ 28 Stewart Island / Rakiura to Macquarie Island,Raster chart image of: NZ 28 Stewart Island / Rakiura to Macquarie Island This data was compiled for the use at the following scale: 1:1250000 File reference: NZ2801 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2836,
Land Information New Zealand,Chart NZ 864 Apolima Strait: Matautu Bay,Raster chart image of: NZ 864 Apolima Strait: Matautu Bay This data was compiled for the use at the following scale: 1:50000 File reference: C00864 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/2860,
Land Information New Zealand,Chart NZ 945 Plans of the Cook Islands - northern sheet: Taruia Passage,Raster chart image of: NZ 945 Plans of the Cook Islands - northern sheet: Taruia Passage This data was compiled for the use at the following scale: 1:6000 File reference: NZ94510 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2884,
Land Information New Zealand,Chart NZ 865 Approaches to Apia,Raster chart image of: NZ 865 Approaches to Apia This data was compiled for the use at the following scale: 1:50000 File reference: NZ86501 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2908,
Land Information New Zealand,Chart NZ 2862 Plans in the Auckland Islands: Enderby Island to Smith Harbour,Raster chart image of: NZ 2862 Plans in the Auckland Islands: Enderby Island to Smith Harbour This data was compiled for the use at the following scale: 1:50000 File reference: NZ286202 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2932,
Land Information New Zealand,Chart NZ 4212 Hokianga Harbour S,Raster chart image of: NZ 4212 Hokianga Harbour S This data was compiled for the use at the following scale: 1:40000 File reference: NZ421201 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2956,
Land Information New Zealand,Chart NZ 14901 Cape Royds to Pram Point,Raster chart image of: NZ 14901 Cape Royds to Pram Point This data was compiled for the use at the following scale: 1:60000 File reference: NZ1490101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2980,
Land Information New Zealand,Chart NZ 6324 Akaroa Harbour: French Bay,Raster chart image of: NZ 6324 Akaroa Harbour: French Bay This data was compiled for the use at the following scale: 1:15000 File reference: NZ632402 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3004,
Land Information New Zealand,Chart NZ 56 Table Cape to Blackhead Point,Raster chart image of: NZ 56 Table Cape to Blackhead Point This data was compiled for the use at the following scale: 1:200000 File reference: NZ5601 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3028,
Land Information New Zealand,Chart NZ 76 Western Approaches to Foveaux Strait,Raster chart image of: NZ 76 Western Approaches to Foveaux Strait This data was compiled for the use at the following scale: 1:300000 File reference: NZ7601 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3052,
Land Information New Zealand,NZ Parcel Statutory Actions List,A Statutory Action is the action that is authorised by a specific Part or Section of an Act.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/3148,
Land Information New Zealand,NZMS 260 Map Sheets,This layer shows the New Zealand mainland sheet extents for the historic NZMS 260 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3172,
Land Information New Zealand,"Navigational system of marks polygon (Hydro, 1:1.5mil and smaller)",An area within which a specific system of navigational marks applies and/or a common direction of buoyage.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3196,
