Organisation,Sector,Common name,Postal address,Physical address,Generic Email,Generic Phone,Generic Fax,CE personal title,CE first name,CE surname,CE name suffix,CE greeting name,Mayor personal title,Mayor first name,Mayor surname,Mayor name suffix,Mayor greeting name,Chair personal title,Chair first name,Chair surname,Chair name suffix,Chair greeting name
Heritage New Zealand,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Heritage New Zealand,"PO Box 2629 
Wellington 6140","Antrim House 
63 Boulcott Street 
Wellington 6011",information@heritage.org.nz,+64 4 472 4341,+64 4 499 0669,,Andrew,Coleman,,Andrew Coleman,,,,, ,The Rt Hon,Wyatt,Creech,,The Rt Hon Creech
Horowhenua District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Horowhenua District Council,"Private Bag 4002 
Levin 5540","126-148 Oxford Street 
Levin",enquiries@horowhenua.govt.nz,"+64 6 366 0999
0508 949 4949",+64 6 366 0983,,David,Clapperton,,David Clapperton,,Brendan,Duffy,,Brendan Duffy,,,,, 
Housing New Zealand Corporation,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Housing New Zealand,"PO Box 2628 
Wellington 6140","80 Boulcott Street 
Wellington 6011",enquiries1@hnzc.co.nz,"+64 4 439 3000
0800 801 601",0800 201 202,,Andrew,McKenzie,,Andrew McKenzie,,,,, ,,Adrienne,Young-Cooper,,Adrienne Young-Cooper
Human Rights Commission,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Human Rights Commission,"PO Box 12411 
Thorndon 
Wellington 6144","Level 8 Vector Building 
44-52 The Terrace 
Thorndon 
Wellington 6144",infoline@hrc.co.nz,"+64 4 473 9981
0800 496 877",+64 4 471 6759,,Cynthia,Brophy,,Cynthia Brophy,,,,, ,,David,Rutherford,,David Rutherford
Hurunui District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Hurunui District Council,"PO Box 13 
Amberley 
North Canterbury 7441","66 Carters Road (SH1) 
Amberley 7410",info@hurunui.govt.nz,+64 3 314 8816,+64 3 314 9181,,Hamish,Dobbie,,Hamish Dobbie,,Winton,Dalley,,Winton Dalley,,,,, 
Hutt City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Hutt City Council,"Private Bag 31-912 
Lower Hutt 5040","Council Building 
531 High Street 
Lower Hutt 5040",Contact@huttcity.govt.nz,"+64 4 570 6666
0800 488 824",+64 4 569 4290,,Tony,Stallinger,,Tony Stallinger,,Ray,Wallace,,Ray Wallace,,,,, 
Hutt Valley District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Hutt Valley District Health Board,"Private Bag 31907 
Lower Hutt 5010","Pilmuir House    
Hutt Hospital Campus 
Lower Hutt 5010",RES-communications@huttvalleydhb.org.nz,+64 4 566 6999,+64 4 570 9001,,Graham,Dyer,,Graham Dyer,,,,, ,Dr,Virginia,Hope,,Dr Hope
Immigration New Zealand,"Public Service
    -> State Services
        -> Public Sector",Immigration New Zealand,"PO Box 1473 
Wellington 6140","15 Stout Street 
Wellington 6011",,"+64 9 914 4100
0508 558 855",+64 9 914 4119,,,,, ,,,,, ,,,,, 
Immigration and Protection Tribunal,"Public Service
    -> State Services
        -> Public Sector",Immigration and Protection Tribunal,"DX EX 11086 
Auckland 1010","Level 1 Chorus House 
41 Federal Street 
Auckland 1010",IPT@justice.govt.nz,+64 9 914 4299,+64 9 914 5263,,,,, ,,,,, ,,,,, 
Independent Police Conduct Authority,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Independent Police Conduct Authority,"PO Box 25221

 
Wellington 6146","Level 10  
1 Grey Street 
Wellington 6011",enquiries@ipca.govt.nz,"+64 4 499 2050
0800 503 728",+64 4 499 2053,Dr,Warren,Young,,Dr Young,,,,, ,Sir,David,Carruthers,,Sir Carruthers
Inland Revenue Department,"Public Service
    -> State Services
        -> Public Sector",Inland Revenue Department,"PO Box 39010 
Wellington Mail Centre 
Lower Hutt 5045","12-22 Hawkestone St 
Thorndon 
Wellington 6140",,"+64 4 890 1500
 0800 775 247",+64 4 890 4554,,Naomi,Ferguson,,Naomi Ferguson,,,,, ,,,,, 
Insolvency and Trustee Service,"Public Service
    -> State Services
        -> Public Sector",Insolvency and Trustee Service,"Private Bag 4714 
Christchurch 8140",,,"+64 3 962 2581
0508 467 658",+64 9 919 9099,,,,, ,,,,, ,,,,, 
Intellectual Property Office of New Zealand,"Public Service
    -> State Services
        -> Public Sector",Intellectual Property Office of New Zealand,"PO Box 9241 
Marion Square 
Wellington 6141","15 Stout Street 
Wellington 6011",info@iponz.govt.nz,"+64 3 962 2607
0508 447 669",+64 4 978 3691,,,,, ,,,,, ,,,,, 
International Accreditation New Zealand,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",International Accreditation New Zealand,"Private Bag 28908 
Remuera 
Auckland 1541","Level 1 
626 Great South Road 
Ellerslie 
Auckland 1051",info@ianz.govt.nz,+64 9 525 6655,+64 9 525 2266,Dr,Llewellyn,Richards,,Dr Richards,,,,, ,,,,, 
Invercargill City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Invercargill City Council,"Private Bag 90104 
Invercargill 9840","101 Esk Street 
Invercargill 9810",service@icc.govt.nz,"+64 3 211 1777
0800 422 435",+64 3 211 1433,,Richard,King,,Richard King,,Tim,Shadbolt,,Tim Shadbolt,,,,, 
Kaikoura District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Kaikoura District Council,"PO Box 6 
Kaikoura 7340","34 Esplanade 
Kaikoura",kdc@kaikoura.govt.nz,+64 3 319 5026,+64 3 319 5308,,Stuart,Grant,,Stuart Grant,,Winston,Gray ,,Winston Gray ,,,,, 
Kaipara District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Kaipara District Council,"Private Bag 1001 
Dargaville 0340","42 Hokianga Road 
Dargaville 0310",council@kaipara.govt.nz,"+64 9 439 3123
0800 727 059",+64 9 439 6756,,,,, ,,,,, ,,John,Robertson,,John Robertson
Kapiti Coast District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Kapiti Coast District Council,"Private Bag 60601
 
Paraparaumu 5032","175  Rimu Road 
Paraparaumu 5032",Kapiti.Council@kapiticoast.govt.nz,"+64 4 296 4700
0800 486 486",+64 4 296 4830,,Patrick ,Dougherty,,Patrick  Dougherty,,K,Gurunathan,,K Gurunathan,,,,, 
Kawerau District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Kawerau District Council,"Private Bag 1004
 
Kawerau 3169","Ranfurly Court  
Kawerau 3127",kaweraudc@kaweraudc.govt.nz,+64 7 306 9009,+64 7 323 8072,,Russell ,George,,Russell  George,,Malcolm ,Campbell,,Malcolm  Campbell,,,,, 
Lakes District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Lakes District Health Board,"Private Bag 3023
Rotorua Mail Centre 
Rotorua 3046","Corner Arawa Street and Pukeroa Road 
Rotorua",ceooffice@lakesdhb.govt.nz,+64 7 348 1199,+64 7 349 7897,,Ron,Dunham,,Ron Dunham,,,,, ,,Deryck,Shaw,,Deryck Shaw
Land Information New Zealand,"Public Service
    -> State Services
        -> Public Sector",Land Information New Zealand,"PO Box 5501 
Wellington 6145","Level 7 Radio New Zealand House 
155 The Terrace 
Wellington 6011",customersupport@linz.govt.nz,"+64 4 460 0110
0800 665 463",+64 4 472 2244,,Andrew ,Crisp,,Andrew  Crisp,,,,, ,,,,, 
Law Commission,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Law Commission,"PO Box 2590 
Wellington 6140","Level 19 
171 Featherston Street 
Wellington 6011",com@lawcom.govt.nz,+64 4 473 3453,+64 4 471 0959,,Roland,Daysh,,Roland Daysh,,,,, ,Hon Sir,Grant,Hammond,KNZM,Hon Sir Hammond
Leadership Development Centre,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Leadership Development Centre,"PO Box 2460 
Wellington 6140","Level 12 Maritime Tower 
10 Customhouse Quay 
Wellington Central 
Wellington 6011",info@ldc.govt.nz,+64 4 473 2222,,,Rosemary,Hannah-Parr,,Rosemary Hannah-Parr,,,,, ,,Iain ,Rennie,,Iain  Rennie
Legal Aid Tribunal,"Public Service
    -> State Services
        -> Public Sector",Legal Aid Tribunal,"Private Bag 32001
 
Featherston Street 
Wellington  6011","Level 1 
86  Customhouse Quay 
Wellington 6011",tribunals@justice.govt.nz,+64 4 462 6660,,,,,, ,,,,, ,,,,, 
Mackenzie District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Mackenzie District Council,"PO Box 52 
Fairlie 7949","Main Street 
Fairlie 7949",info@mackenzie.govt.nz,"+64 3 685 9010
0800 685 8514",+64 3 685 8533,,Wayne,Barnett,,Wayne Barnett,,Graham,Smith,,Graham Smith,,,,, 
Manawatu District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Manawatu District Council,"Private Bag 10001 
Feilding 4743","135 Manchester Street 
Feilding 4702",public@mdc.govt.nz,+64 6 323 0000,+64 6 323 0822,,Lorraine,Vincent,,Lorraine Vincent,,Helen,Worboys,,Helen Worboys,,,,, 
Manawatu-Wanganui Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Manawatu-Wanganui Regional Council,"Private Bag 11025  
Manawatu Mail Centre 
Palmerston North 4442","11-15 Victoria Avenue 
Palmerston North",help@horizons.govt.nz,"+64 6 952 2800
0508 800 800",+64 6 952 2929,,Michael,McCartney,,Michael McCartney,,,,, ,,Bruce,Gordon,,Bruce Gordon
Maritime New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Maritime New Zealand,"PO Box 25620 
Wellington 6146","Level 11 
1 Grey Street 
Wellington 6011",enquiries@maritimenz.govt.nz,"+64 4 473 0111
0508 22 55 22",+64 4 494 1263,,Keith,Manch,,Keith Manch,,,,, ,Rear Admiral,David,Ledson,,Rear Admiral Ledson
Marlborough District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Marlborough District Council,"PO Box 443
 
Blenheim 7240","15  Seymour Street 
Blenheim 7201",mdc@marlborough.govt.nz,+64 3 520 7400,+64 3 520 7496,,Mark ,Wheeler,,Mark  Wheeler,,John,Leggett,,John Leggett,,,,, 
Masterton District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Masterton District Council,"PO Box 444 
Masterton 5840","64 Chapel Street 
Masterton 5810",mdc@mstn.govt.nz,+64 6 370 6300,+64 6 378 8400,,Pim,Borren,,Pim Borren,,Lyn,Patterson,,Lyn Patterson,,,,, 
Matamata-Piako District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Matamata-Piako District Council,"PO Box 266 
Te Aroha 3342","35 Kenrick Street 
Te Aroha 3320",,"+64 7 884 0060
0800 746 467",+64 7 884 8865,,Don ,McLeod,,Don  McLeod,,Jan,Barnes,,Jan Barnes,,,,, 
Medsafe,"Public Service
    -> State Services
        -> Public Sector",Medsafe,"PO Box 5013 
Wellington 6145","Freyberg Building 
20 Aitken Street 
Wellington 6011",askmedsafe@moh.govt.nz,+64 4 819 6800,+64 4 819 6806,,,,, ,,,,, ,,,,, 
MidCentral District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",MidCentral District Health Board,"PO Box 2056 
Palmerston North 4440","Gate 2 Heretaunga Street  
Palmerston North ",communications@midcentraldhb.govt.nz,+64 6 350 8061,+64 6 355 0616,,Kathryn,Cook,,Kathryn Cook,,,,, ,,Phil,Sunderland,,Phil Sunderland
Ministry for Culture and Heritage,"Public Service
    -> State Services
        -> Public Sector",Ministry for Culture and Heritage,"PO Box 5364 
Wellington 6145","Level 1 
131-135 Lambton Quay 
Wellington 6011",info@mch.govt.nz,+64 4 499 4229,+64 4 499 4490,,Paul,James,,Paul James,,,,, ,,,,, 
Ministry for Pacific Peoples,"Public Service
    -> State Services
        -> Public Sector",Ministry for Pacific Peoples,"PO Box 833 
Wellington 6140","Level 2 ASB Building 
101-103 The Terrace 
Wellington 6140",contact@mpp.govt.nz,+64 4 473 4493,+64 4 473 4301,,Pauline,Winter,,Pauline Winter,,,,, ,,,,, 
Ministry for Primary Industries,"Public Service
    -> State Services
        -> Public Sector",Ministry for Primary Industries,"PO Box 2526 
Wellington 6140","Pastoral House 
25 The Terrace 
Wellington 6011",info@mpi.govt.nz,"+64 4 894 0100
0800 008 333",+64 4 894 0720,,Martyn,Dunne,,Martyn Dunne,,,,, ,,,,, 
Ministry for Women,"Public Service
    -> State Services
        -> Public Sector",Ministry for Women,"PO Box 10049
The Terrace 
Wellington 6143","Level 9 Qual IT House 
22 The Terrace 
Wellington 6011",info@women.govt.nz,+64 4 915 7112,+64 4 916 1604,Dr,Jo,Cribb,,Dr Cribb,,,,, ,,,,, 
Ministry for the Environment,"Public Service
    -> State Services
        -> Public Sector",Ministry for the Environment,"PO Box 10362 
Wellington 6143","Environment House 
23  Kate Sheppard Place 
Thorndon 
Wellington 6011",info@mfe.govt.nz,"+64 4 439 7400
0800 499 700",+64 4 439 7700,,Vicky,Robertson,,Vicky Robertson,,,,, ,,,,, 
"Ministry of Business, Innovation and Employment","Public Service
    -> State Services
        -> Public Sector","Ministry of Business, Innovation and Employment","PO Box 1473 
Wellington 6140","15 Stout Street 
Wellington 6011",info@mbie.govt.nz,+64 4 901 1499,+64 4 917 0190,,David,Smol,,David Smol,,,,, ,,,,, 
Ministry of Civil Defence and Emergency Management,"Public Service
    -> State Services
        -> Public Sector",Ministry of Civil Defence and Emergency Management,"PO Box 5010 
Wellington 6145","Level 4 Bowen House 
70-84 Lambton Quay 
Welington 6011",emergency.management@dpmc.govt.nz,+64 4 817 8555,+64 4 817 8554,,,,, ,,,,, ,,,,, 
Ministry of Consumer Affairs,"Public Service
    -> State Services
        -> Public Sector",Consumer Protection,"MBIE Service Centre
Private Bag 4714 
Christchurch 8140","15 Stout Street 
Wellington 6011",cpinfo@mbie.govt.nz,+64 4 474 2750,+64 4 494 0290,,,,, ,,,,, ,,,,, 
Ministry of Defence,"Public Service
    -> State Services
        -> Public Sector",Ministry of Defence,"PO Box 12703
Molesworth Street  
Wellington 6144","Level 4 Freyberg House 
2-12 Aitken Street 
Wellington 6011",info@defence.govt.nz,+64 4 496 0999,+64 4 496 0859,,Helene,Quilter,,Helene Quilter,,,,, ,,,,, 
Ministry of Education,"Public Service
    -> State Services
        -> Public Sector",Ministry of Education,"PO Box 1666 
Wellington 6140","Level 1 Mātauranga House 
33 Bowen Street 
Wellington 6011",info@education.govt.nz,+64 4 463 8000,+64 4 463 8001,,Iona,Holsted,,Iona Holsted,,,,, ,,,,, 
Ministry of Foreign Affairs and Trade,"Public Service
    -> State Services
        -> Public Sector",Ministry of Foreign Affairs and Trade,"Private Bag 18-901 
Wellington 6160","195 Lambton Quay  
Wellington 6011",,+64 4 439 8000,,,Brook,Barrington,,Brook Barrington,,,,, ,,,,, 
Ministry of Health,"Public Service
    -> State Services
        -> Public Sector",Ministry of Health,"PO Box 5013 
Wellington 6145","133 Molesworth Street 
Thorndon 
Wellington 6011",info@health.govt.nz,+64 4 496 2000,+64 4 496 2340,,Chai,Chuah,,Chai Chuah,,,,, ,,,,, 
Ministry of Justice,"Public Service
    -> State Services
        -> Public Sector",Ministry of Justice,"DX: SX10088 
Wellington","Justice Centre 
19  Aitken Street 
Wellington 6011",info@justice.govt.nz,+64 4 918 8800,+64 4 918 8820,,Andrew ,Bridgman,,Andrew  Bridgman,,,,, ,,,,, 
Ministry of Māori Development,"Public Service
    -> State Services
        -> Public Sector",Ministry of Māori Development,"PO Box 3943 
Wellington 6140","Te Puni Kōkiri House 
143 Lambton Quay 
Wellington 6011",info@tpk.govt.nz,+64 4 819 6000,+64 4 819 6299,,Michelle,Hippolite,,Michelle Hippolite,,,,, ,,,,, 
Ministry of Social Development,"Public Service
    -> State Services
        -> Public Sector",Ministry of Social Development,"PO Box 1556 
Wellington 6140","The Aurora Centre 
56 The Terrace 
Wellington 6011",information@msd.govt.nz,+64 4 916 3300,+64 4 918 0099,,Brendan,Boyle,,Brendan Boyle,,,,, ,,,,, 
Ministry of Transport,"Public Service
    -> State Services
        -> Public Sector",Ministry of Transport,"PO Box 3175 
Wellington 6140","Level 6 SAS House 
89 The Terrace 
Wellington 6140",info@transport.govt.nz,+64 4 439 9000,+64 4 439 9001,,Peter,Mersi,,Peter Mersi,,,,, ,,,,, 
Ministry of Youth Development,"Public Service
    -> State Services
        -> Public Sector",Ministry of Youth Development,"PO Box 1556 
Wellington 6140","Level 7 Bowen State Building 
Bowen Street 
Wellington 6143",mydinfo@myd.govt.nz ,"+64 4 916 3300
0508 367 693",+64 4 918 0091,,,,, ,,,,, ,,,,, 
Motor Vehicle Traders Register,"Public Service
    -> State Services
        -> Public Sector",Motor Vehicle Traders Register,"PO Box 10-729 
Wellington 6143","15 Stout Street 
Wellington 6011",,"+64 3 962 2704
0508 668 678",,,,,, ,,,,, ,,,,, 
Museum of New Zealand Te Papa Tongarewa,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Museum of New Zealand Te Papa Tongarewa,"PO Box 467 
Wellington 6140","55 Cable Street 
Wellington 6011",enquiries@tepapa.govt.nz,+64 4 381 7000,+64 4 381 7070,,Rick,Ellis,,Rick Ellis,,,,, ,,Evan,Williams,,Evan Williams
Māori Land Court,"Public Service
    -> State Services
        -> Public Sector",Māori Land Court,"DX Box SX11203 
Wellington","Level 7 Fujitsu Tower 
141  The Terrace 
Wellington",mlcnationaloffice@justice.govt.nz,+64 4 914 3102,+64 4 914 3100,,,,, ,,,,, ,,,,, 
Māori Language Commission,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Māori Language Commission,"PO Box 411
 
Wellington  6140","Level 14 Investment Centre 
Corner Featherston and Ballance Streets 
Wellington  6140",tereo@tetaurawhiri.govt.nz,+64 4 471 0244,+64 4 471 2768 ,,Ngahiwi,Apanui,,Ngahiwi Apanui,,,,, ,Dr.,Wayne,Ngata,,Dr. Ngata
Napier City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Napier City Council,"Private Bag 6010 
Napier 4142","231 Hastings Street 
Napier 4110",info@napier.govt.nz,+64 6 835 7579,+64 6 835 7574,,Wayne,Jack,,Wayne Jack,,Bill,Dalton,,Bill Dalton,,,,, 
National Advisory Council on the Employment of Women,"Public Service
    -> State Services
        -> Public Sector",National Advisory Council on the Employment of Women,"PO Box 10 049 
Wellington 6143","Level 9 
22 The Terrace 
Wellington",nacew@mwa.govt.nz,+64 4 915 7112,+64 4 916 1604,,,,, ,,,,, ,,Traci,Houpapa,,Traci Houpapa
National Library of New Zealand,"Public Service
    -> State Services
        -> Public Sector",National Library of New Zealand,"PO Box 1467 
Wellington 6140","Corner of Molesworth and Aitken Streets 
Thorndon 
Wellington 6140",information@natlib.govt.nz,"+64 4 474 3000
0800 474 300",+64 4 474 3063,,,,, ,,,,, ,,,,, 
National Rural Fire Authority,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",National Rural Fire Authority,"PO Box 2133 
Wellington","Level 12 
80 The Terrace 
Wellington",nrfa@fire.org.nz,+64 4 496 3691,+64 4 496 3700,,,,, ,,,,, ,,,,, 
Nelson City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Nelson City Council,"Po Box 645 
Nelson 7040","Civic House  
110 Trafalgar Street 
Nelson 7040",enquiry@ncc.govt.nz,+64 3 546 0200,+64 3 546 0239,,Clare,Hadley,,Clare Hadley,,Rachel,Reese,,Rachel Reese,,,,, 
Nelson Marlborough District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Nelson Marlborough District Health Board,"Private Bag 18 
Nelson 7042","Braemar Campus 
Waimea Road 
Nelson",enquiries.corporate@nmdhb.govt.nz,+64 3 546 1723,+64 3 546 1747,,Chris,Fleming,,Chris Fleming,,,,, ,,Jenny,Black,,Jenny Black
New Plymouth District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",New Plymouth District Council,"Private Bag 2025 
New Plymouth 4342","Civic Centre 
84 Liardet Street 
New Plymouth 4310",enquiries@npdc.govt.nz,+64 6 759 6060,+64 6 759 6072,,Barbara,McKerrow,,Barbara McKerrow,,Neil,Holdom,,Neil Holdom,,,,, 
New Zealand Aid Programme,"Public Service
    -> State Services
        -> Public Sector",New Zealand Aid Programme,"Private Bag 18901 
Wellington","195 Lambton Quay 
Wellington",aidcommunications@mfat.govt.nz,+64 4 439 8000,+64 4 439 8515,,,,, ,,,,, ,,,,, 
New Zealand Antarctic Institute,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Antarctica New Zealand,"Private Bag 4745 
Christchurch 8140","Administration Building International Antarctic Centre 
38 Orchard Road 
Harewood 
Christchurch 8053",info@antarcticanz.govt.nz,+64 3 358 0200,+64 3 358 0211,,Peter,Beggs,,Peter Beggs,,,,, ,,,,, 
New Zealand Artificial Limb Service,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Artificial Limb Service,"PO Box 19160 
Wellington 6149","Level 4 Quinovic House 
32 Kent Terrace 
Wellington",enquiries@nzals.govt.nz,+64 4 385 9410,+64 4 385 9412,,Sean,Gray,,Sean Gray,,,,, ,,George,Reedy,,George Reedy
New Zealand Blood Service,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Blood Service,"Private Bag 92-071
Victoria Street West 
Auckland 1142 ","11 Great South Road 
Epsom 
Auckland 1051",donors.national@nzblood.co.nz,"+64 9 523 5744
0800 448 325",,,Sam,Cliffe,,Sam Cliffe,,,,, ,,David,Chamberlain,,David Chamberlain
New Zealand Customs Service,"Public Service
    -> State Services
        -> Public Sector",New Zealand Customs Service,"PO Box 2218 
Wellington Central 
Wellington 6140","The Customhouse 
1 Hinemoa Street 
Harbour Quays 
Wellington",feedback@customs.govt.nz,"+64 4 901 4500
0800 428 786",+64 4 901 4555,,Carolyn,Tremain,,Carolyn Tremain,,,,, ,,,,, 
New Zealand Debt Management Office,"Public Service
    -> State Services
        -> Public Sector",New Zealand Debt Management Office,"PO Box 3724 
Wellington 6140","1 The Terrace 
Wellington",info@nzdmo.govt.nz,+64 4 472 2733,+64 4 472 2492,,,,, ,,,,, ,,,,, 
New Zealand Export Credit Office,"Public Service
    -> State Services
        -> Public Sector",New Zealand Export Credit Office,"PO Box 3724 
Wellington 6140","1 The Terrace 
Wellington 6011",info@nzeco.govt.nz,+64 4 917 6060,+64 4 473 0982,,,,, ,,,,, ,,,,, 
New Zealand Film Commission,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Film Commission,"PO Box 11 546 
Wellington 6142","Level 3 
119 Ghuznee St 
Wellington",info@nzfilm.co.nz,"+64 4 382 7680
0800 659 754",,,Dave,Gibson,,Dave Gibson,,,,, ,,Kerry,Prendergast,,Kerry Prendergast
New Zealand Fire Service,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Fire Service,"PO Box 2133 
Wellington 6140","Level 12 Axa Centre 
80 The Terrace 
Wellington",question@fire.org.nz,+64 4 496 3600,+64 4 496 3700,,Paul ,Baxter,,Paul  Baxter,,,,, ,,,,, 
New Zealand Fire Service Commission,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Fire Service Commission,"PO Box 2133 
Wellington 6140","Level 12 AXA Centre 
80 The Terrace 
Wellington 6140",question@fire.org.nz,+64 4 496 3600,+64 4 496 3700,,Paul ,Baxter,,Paul  Baxter,,,,, ,The Rt Hon,Wyatt,Creech,,The Rt Hon Creech
New Zealand Fish and Game Council,"Fish and game councils
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",New Zealand Fish and Game Council,"PO Box 13-141 
Johnsonville 
Wellington 6440","2 Jarden Mile 
Ngaraunga 
Wellington 6035",nzcouncil@fishandgame.org.nz,+64 4 499 4767,+64 4 499 4768,,Bryce,Johnson,,Bryce Johnson,,,,, ,,Lindsay,Lyons,,Lindsay Lyons
New Zealand Game Bird Habitat Trust Board,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",New Zealand Game Bird Habitat Trust Board,"PO Box 13-141 
Johnsonville 
Wellington 6440","Level 1 
2 Jarden Mile 
Ngauranga 
Wellington",NZCouncil@fishandgame.org.nz,+64 4 499 4767,+64 4 499 4768,,,,, ,,,,, ,,Mark,Airey,,Mark Airey
New Zealand Geographic Board,"Public Service
    -> State Services
        -> Public Sector",New Zealand Geographic Board,"PO Box 5501 
Wellington 6145","Radio New Zealand House 
155 The Terrace 
Wellington",customersupport@linz.govt.nz ,"+64 4 460 0110
0800 665 463",+64 4 472 2244,,,,, ,,,,, ,,,,, 
New Zealand Lotteries Commission,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Lotteries Commission,"PO Box 8929 
Symonds St 
Auckland 1150","Level 1 
73 Remuera Road 
Remuera 
Auckland 1050",info@lottonz.co.nz,+64 9 356 3800,+64 9 366 1605,,Wayne,Pickup,,Wayne Pickup,,,,, ,,Judy,Kirk,,Judy Kirk
New Zealand Lottery Grants Board,"Other (unincorporated)
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",New Zealand Lottery Grants Board,"PO Box 805  
Wellington 6140","46 Waring Taylor Street 
Wellington 6011",community.matters@dia.govt.nz,0800 824 824,,,,,, ,,,,, ,,,,, 
New Zealand Petroleum & Minerals,"Public Service
    -> State Services
        -> Public Sector",New Zealand Petroleum & Minerals,"PO Box 1473 
Wellington 6140","15 Stout Street 
Wellington 6011",nzpam@mbie.govt.nz,"+64 3 962 6179
0508 263 782",+64 4 471 0187,,,,, ,,,,, ,,,,, 
New Zealand Productivity Commission,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Productivity Commission,"PO Box 8036
 
Wellington 6143","Level 15 Fujitsu Tower 
141  The Terrace 
Wellington 6143",info@productivity.govt.nz,+64 4 903 5150,,,Daiman,Smith,,Daiman Smith,,,,, ,,Murray ,Sherwin,,Murray  Sherwin
New Zealand Qualifications Authority,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Qualifications Authority,"PO Box 160 
Wellington 6140","Level 13 
125 The Terrace 
Wellington 6011",,"+64 4 463 3000
0800 697 296",+64 4 463 3112,Dr,Karen,Poutasi,,Dr Poutasi,,,,, ,,Sue,Suckling,,Sue Suckling
New Zealand Quality College,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Quality College,"Private Bag 28908 
Remuera 
Auckland 1541","Level 1 
626 Great South Road 
Ellerslie 
Auckland 1051",info@nzqc.co.nz,"+64 9 525 6633 
0800 900 099",+64 9 525 2266,Dr,Greg,Williams,,Dr Williams,,,,, ,,,,, 
